science_name,commercial_name,pharmaceutical_form,presentation,no_of_doses,manufacturer,responsible_nra
Meningococcal A Conjugate,MenAfriVac,Lyophilised active component to be reconstituted with excipient diluent before use,Vial + Ampoule,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Meningococcal A Conjugate (paediatric),MenAfriVac 5�g,Lyophilised active component to be reconstituted with excipient diluent before use,Vial + Ampoule,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Meningococcal A+C,Polysaccharide Meningococcal A+C,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),10,Bio-Manguinhos/Fiocruz,Agencia Nacional da Vigilancia Sanitaria
Meningococcal A+C,POLYSACCHARIDE MENINGOCOCCAL A+C VACCINE,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Meningococcal ACYW-135 (conjugate vaccine),Menactra,Liquid: ready to use,Vial,1,Sanofi Pasteur-USA,CBER/FDA
Meningococcal ACYW-135 (conjugate vaccine),Menveo,Lyophilised active component to be reconstituted with liquid active component before use,Two vial set (active + active),1,Novartis Vaccines and Diagnostics S.r.l.,European Medicines Agency
Meningococcal ACYW-135 (polysaccharide),Menomune,Lyophilised active component to be reconstituted with excipient diluent before use,Two vial set (active + excipient),10,Sanofi Pasteur-USA,CBER/FDA
Pneumococcal (conjugate),Prevenar 13,Liquid: ready to use,Vial,1,Pfizer,European Medicines Agency
Pneumococcal (conjugate),Synflorix,Liquid: ready to use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Pneumococcal (conjugate),Synflorix,Liquid: ready to use,Vial,2,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Inactivated (IPV),IMOVAX POLIO,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Polio Vaccine - Inactivated (IPV),IPV Vaccine SSI,Liquid: ready to use,Vial,1,Statens Serum Institut,Danish Medicines Agency
Polio Vaccine - Inactivated (IPV),Poliomyelitis vaccine,Liquid: ready to use,Vial,1,Bilthoven Biologicals,Medicines Evaluation Board (MEB)
Polio Vaccine - Inactivated (IPV),"Poliomyelitis vaccine multidose, suspension for injection 2.5 mL",Liquid: ready to use,Vial,5,Bilthoven Biologicals,Medicines Evaluation Board (MEB)
Polio Vaccine - Inactivated (IPV),Poliorix,Liquid: ready to use,Vial,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Inactivated (IPV),Poliorix,Liquid: ready to use,Vial,2,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,BIOPOLIO B1/3,Liquid: ready to use,Vial,20,Bharat Biotech International Limited,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,Bivalent Oral Poliomyelitis Vaccine Type 1&3 (bOPV 1&3),Liquid: ready to use,Vial,20,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,Bivalent Oral Poliomyelitis Vaccine Type 1&3 (bOPV 1&3),Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,"Bivalent type 1&3 Oral Poliomyelitis vaccine, IP (bOPV1&3)",Liquid: ready to use,Vial,20,Haffkine Bio Pharmaceutical Corporation Ltd,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,none,Liquid: ready to use,Vial,20,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,Polio Sabin One and Three,Liquid: ready to use,Vial,10,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,Polio Sabin One and Three,Liquid: ready to use,Vial,20,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,Poliomyelitis Vaccine (oral) Bivalent types 1 and 3,Liquid: ready to use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3,Poliomyelitis Vaccine (oral) Bivalent types 1 and 3,Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Monovalent Type 1,Monovalent Oral Poliomyelitis Vaccine Type 1 (mOPV1),Liquid: ready to use,Vial,20,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Polio Vaccine - Oral (OPV) Monovalent Type 1,"Monovalent type 1 Oral Poliomyelitis vaccine, IP",Liquid: ready to use,Vial,20,Haffkine Bio Pharmaceutical Corporation Ltd,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Monovalent Type 1,ORAL MONOVALENT TYPE 1 POLIOMYELITIS VACCINE,Liquid: ready to use,Vial,20,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Polio Vaccine - Oral (OPV) Monovalent Type 1,Polio Sabin Mono T1,Liquid: ready to use,Vial,10,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Monovalent Type 1,Polio Sabin Mono T1,Liquid: ready to use,Vial,20,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Monovalent Type 2,Polio Sabin Mono Two (oral),Liquid: ready to use,Vial,20,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Monovalent Type 2,Polio Sabin Mono Two (oral),Liquid: ready to use,Vial,10,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Monovalent Type 3,Polio Sabin Mono Three (oral),Liquid: ready to use,Vial,10,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Monovalent Type 3,Polio Sabin Mono Three (oral),Liquid: ready to use,Vial,20,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Trivalent,BIOPOLIO,Liquid: ready to use,Vial,20,Bharat Biotech International Limited,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Trivalent,BIOPOLIO,Liquid: ready to use,Vial,10,Bharat Biotech International Limited,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Trivalent,OPVERO,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Polio Vaccine - Oral (OPV) Trivalent,OPVERO,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Polio Vaccine - Oral (OPV) Trivalent,OPVERO,Liquid: ready to use,Vial,20,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Polio Vaccine - Oral (OPV) Trivalent,Oral polio,Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Polio Vaccine - Oral (OPV) Trivalent,Oral polio,Liquid: ready to use,Vial,20,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Polio Vaccine - Oral (OPV) Trivalent,Polio sabin,Liquid: ready to use,Vial,10,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Trivalent,Polio sabin,Liquid: ready to use,Vial,20,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Polio Vaccine - Oral (OPV) Trivalent,"Poliomyelitis Vaccine (Oral) Trivalent types 1, 2 and 3",Liquid: ready to use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Trivalent,"Poliomyelitis Vaccine Oral Trivalent types 1, 2 and 3",Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Polio Vaccine - Oral (OPV) Trivalent,Polioviral vaccine,Liquid: ready to use,Vial,20,Haffkine Bio Pharmaceutical Corporation Ltd,Central Drugs Standard Control Organization
Rabies,Rabies Vaccine (adsorbed),Liquid: ready to use,Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Rabies,Rabipur,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Chiron Behring Vaccines Private Ltd.,Central Drugs Standard Control Organization
Rabies,Rabipur,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Novartis Vaccines and Diagnostics GmbH,Paul-Ehrlich-Institut
Rabies,VERORAB,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Rotavirus,Rotarix,Liquid: ready to use,Plastic Tube,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Rotavirus,Rotarix,Liquid: ready to use,Applicator,1,GlaxoSmithKline Biologicals SA,Federal Agency for Medicines and Health Products
Rotavirus,Rotateq,Liquid: ready to use,Plastic Tube,1,Merck Vaccines,CBER/FDA
Rubella,"Rubella Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Rubella,"Rubella Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,2,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Rubella,"Rubella Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,5,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Rubella,"Rubella Vaccine ,Live,attenuated",Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Tetanus Toxoid,None,Liquid: ready to use,Vial,20,Biological E. Limited,Central Drugs Standard Control Organization
Tetanus Toxoid,None,Liquid: ready to use,Vial,1,Biological E. Limited,Central Drugs Standard Control Organization
Tetanus Toxoid,None,Liquid: ready to use,Vial,10,Biological E. Limited,Central Drugs Standard Control Organization
Tetanus Toxoid,ShanTT,Liquid: ready to use,Vial,10,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Tetanus Toxoid,ShanTT,Liquid: ready to use,Vial,20,Shantha Biotechnics Limited,Central Drugs Standard Control Organization
Tetanus Toxoid,Tetanus Toxoid Vaccine Adsorbed,Liquid: ready to use,Ampoule,1,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Tetanus Toxoid,Tetanus Toxoid Vaccine Adsorbed,Liquid: ready to use,Vial,10,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Tetanus Toxoid,Tetanus Toxoid Vaccine Adsorbed,Liquid: ready to use,Vial,20,Serum Institute of India Pvt. Ltd.,Central Drugs Standard Control Organization
Tetanus Toxoid,Tetatox,Liquid: ready to use,Vial,10,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
Tetanus Toxoid,Tetatox,Liquid: ready to use,Vial,20,National Center of Infectious and Parasitic Diseases,Bulgarian Drug Agency
Tetanus Toxoid,TETAVAX,Liquid: ready to use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Tetanus Toxoid,TETAVAX,Liquid: ready to use,Vial,20,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Tetanus Toxoid,TT vaccine,Liquid: ready to use,Vial,10,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Tetanus Toxoid,TT vaccine,Liquid: ready to use,Vial,20,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Tetanus Toxoid,TT vaccine,Liquid: ready to use,Uniject,1,PT Bio Farma (Persero),National Agency of Drug and Food Control Indonesia
Typhoid,Typhym-Vi,Liquid: ready to use,Vial,20,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Yellow Fever,-,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,2,Federal State Unitary Enterprise of Chumakov Institute of Poliomyelitis and Viral Encephalitides of Russian Acad. Med. Sci.,Center of Expertise of Pharmaceuticals
Yellow Fever,-,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,5,Federal State Unitary Enterprise of Chumakov Institute of Poliomyelitis and Viral Encephalitides of Russian Acad. Med. Sci.,Center of Expertise of Pharmaceuticals
Yellow Fever,-,Lyophilised active component to be reconstituted with excipient diluent before use,Ampoule,10,Federal State Unitary Enterprise of Chumakov Institute of Poliomyelitis and Viral Encephalitides of Russian Acad. Med. Sci.,Center of Expertise of Pharmaceuticals
Yellow Fever,Stabilized Yellow Fever Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,5,Institut Pasteur de Dakar,Minist�re de la Sant� publique
Yellow Fever,Stabilized Yellow Fever Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,20,Institut Pasteur de Dakar,Minist�re de la Sant� publique
Yellow Fever,Stabilized Yellow Fever Vaccine,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Institut Pasteur de Dakar,Minist�re de la Sant� publique
Yellow Fever,STAMARIL,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Sanofi Pasteur SA,Agence nationale de s�curit� du m�dicament et des produits de sant�
Yellow Fever,Yellow Fever,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,5,Bio-Manguinhos/Fiocruz,Agencia Nacional da Vigilancia Sanitaria
Yellow Fever,Yellow Fever,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,10,Bio-Manguinhos/Fiocruz,Agencia Nacional da Vigilancia Sanitaria
Yellow Fever,Yellow Fever,Lyophilised active component to be reconstituted with excipient diluent before use,Vial,50,Bio-Manguinhos/Fiocruz,Agencia Nacional da Vigilancia Sanitaria
